Time,Open,High,Low,Latest,Change,%Change,Volume
2024-08-16,7.23,7.34,7.01,7.19,-0.03,-0.42%,2278600
2024-08-15,7.26,7.29,7.05,7.22,0.13,+1.83%,2174500
2024-08-14,7.25,7.39,6.975,7.09,-0.14,-1.94%,2152100
2024-08-13,7.01,7.4,7,7.23,0.31,+4.48%,4424600
2024-08-12,6.32,7.19,6.3,6.92,0.63,+10.02%,5315100
2024-08-09,7.11,7.6968,6.19,6.29,0.61,+10.74%,8719600
2024-08-08,5.7,5.86,5.6,5.68,0.03,+0.53%,3864300
2024-08-07,5.99,6.08,5.58,5.65,-0.21,-3.58%,2925800
2024-08-06,5.79,5.9,5.72,5.86,0.04,+0.69%,2137500
2024-08-05,5.78,5.975,5.64,5.82,-0.27,-4.43%,2365000
2024-08-02,6.05,6.195,5.9812,6.09,-0.25,-3.94%,2016500
2024-08-01,6.63,6.73,6.23,6.34,-0.26,-3.94%,2197800
2024-07-31,6.62,6.825,6.53,6.6,0.04,+0.61%,1983900
2024-07-30,6.7,6.78,6.52,6.56,-0.11,-1.65%,3139200
2024-07-29,7,7.21,6.612,6.67,-0.07,-1.04%,2575100
2024-07-26,6.8,6.865,6.62,6.74,0.08,+1.20%,2015000
2024-07-25,6.62,6.75,6.58,6.66,0.07,+1.06%,1708000
2024-07-24,6.67,6.74,6.54,6.59,-0.16,-2.37%,1894200
2024-07-23,6.75,6.86,6.68,6.75,-0.06,-0.88%,2479900
2024-07-22,6.81,6.895,6.75,6.81,0.03,+0.44%,1205600
2024-07-19,6.86,6.91,6.75,6.78,-0.08,-1.17%,1338000
2024-07-18,7.07,7.27,6.855,6.86,-0.22,-3.11%,1845500
2024-07-17,6.99,7.19,6.99,7.08,0,0.00%,2700000
2024-07-16,7.05,7.15,6.86,7.08,0.16,+2.31%,2853200
2024-07-15,6.85,7.005,6.72,6.92,0.21,+3.13%,2472600
2024-07-12,6.67,6.8,6.55,6.71,0.11,+1.67%,1616900
2024-07-11,6.31,6.65,6.2723,6.6,0.46,+7.49%,2487800
2024-07-10,6.45,6.4698,6.09,6.14,-0.23,-3.61%,1822100
2024-07-09,6.47,6.535,6.3,6.37,-0.07,-1.09%,2164500
2024-07-08,6.44,6.505,6.295,6.44,0.08,+1.26%,2326900
2024-07-05,6.22,6.425,6.16,6.36,0.1,+1.60%,2791000
2024-07-03,6.32,6.4192,6.12,6.26,0.01,+0.16%,1593600
2024-07-02,5.95,6.32,5.7812,6.25,0.3,+5.04%,4659600
2024-07-01,5.23,6,5.22,5.95,0.87,+17.13%,6783900
2024-06-28,5.02,5.15,4.98,5.08,0.17,+3.46%,5667000
2024-06-27,4.96,5,4.87,4.91,-0.04,-0.81%,2167500
2024-06-26,4.64,4.99,4.62,4.95,0.28,+6.00%,1396200
2024-06-25,4.74,4.775,4.67,4.67,-0.09,-1.89%,753800
2024-06-24,4.71,4.81,4.66,4.76,0.11,+2.37%,1483700
