Time,Open,High,Low,Latest,Change,%Change,Volume
2024-04-25,21.63,21.66,20.95,21.16,-0.59,-2.71%,945900
2024-04-24,22.08,22.39,21.64,21.75,-0.52,-2.33%,587700
2024-04-23,22.11,22.75,21.9447,22.27,0.15,+0.68%,759900
2024-04-22,22.15,22.21,21.35,22.12,-0.11,-0.49%,987205
2024-04-19,21.11,22.43,21.11,22.23,1.09,+5.16%,4830200
2024-04-18,20.91,21.39,20.66,21.14,0.21,+1.00%,938400
2024-04-17,21.33,21.52,20.81,20.93,-0.18,-0.85%,1134100
2024-04-16,20.65,21.3,20.525,21.11,0.18,+0.86%,903400
2024-04-15,20.67,21.52,20.48,20.93,-1.,-4.56%,2838900
2024-04-12,22.58,23.21,21.58,21.93,-0.45,-2.01%,1191300
2024-04-11,23.09,23.1,22.04,22.38,-0.73,-3.16%,1049200
2024-04-10,22.33,23.5,22.23,23.11,0.05,+0.22%,1012100
2024-04-09,22.91,23.32,22.515,23.06,0.33,+1.45%,699400
"Downloaded from Barchart.com as of 05-05-2026 08:09am CDT"
